Unnamed: 0,poly,name,date,HATO,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
633,82,Juncalito-Lote_2,2020-01-19,JUNCAL,KYKUYO,1.3,125.0,1971.0,15.767999999999999,False,2020-01-19 00:00:00,1,34 days 00:00:00,125.0,2019-12-24 00:00:00,,,,2019-09-19 00:00:00,2019-02-18 00:00:00,,26 days 00:00:00,,,,122 days 00:00:00,335 days 00:00:00,
1102,115,Paraiso-Lote_14,2020-01-19,PARAISO,KYKUYO,1.2,112.0,1748.0,15.607142857142858,False,2020-01-19 00:00:00,1,37 days 00:00:00,112.0,2019-12-24 00:00:00,,2019-03-11 00:00:00,2019-03-09 00:00:00,2019-07-02 00:00:00,2019-05-27 00:00:00,,26 days 00:00:00,,314 days 00:00:00,316 days 00:00:00,201 days 00:00:00,237 days 00:00:00,
1571,22,RC23,2020-01-19,RECODO 1,KYKUYO,1.4,119.0,2301.0,19.33613445378151,False,2020-01-19 00:00:00,2,47 days 00:00:00,119.0,2019-02-14 00:00:00,,2019-04-04 00:00:00,,,,,339 days 00:00:00,,290 days 00:00:00,,,,
2040,38,RC39,2020-01-19,RECODO 2,KYKUYO,2.2,131.0,2447.0,18.6793893129771,False,2020-01-19 00:00:00,1,55 days 00:00:00,131.0,2019-05-10 00:00:00,,2019-03-13 00:00:00,2019-03-13 00:00:00,2019-03-15 00:00:00,2019-05-10 00:00:00,,254 days 00:00:00,,312 days 00:00:00,312 days 00:00:00,310 days 00:00:00,254 days 00:00:00,
2509,1,RC02,2020-01-19,RECODO 3,RAYGRAS,1.4,121.0,2401.0,19.84297520661157,False,2020-01-19 00:00:00,1,36 days 00:00:00,121.0,2019-12-30 00:00:00,2019-10-05 00:00:00,2019-04-01 00:00:00,,2019-04-01 00:00:00,,,20 days 00:00:00,106 days 00:00:00,293 days 00:00:00,,293 days 00:00:00,,
165,146,La_Isla-Lote_ML_5,2020-01-20,ISLA,KYKUYO,0.9,62.0,987.0,15.919354838709678,False,2020-01-20 00:00:00,1,,62.0,2019-12-24 00:00:00,2019-10-30 00:00:00,,2019-10-29 00:00:00,2019-12-12 00:00:00,2019-06-12 00:00:00,2019-10-29 00:00:00,27 days 00:00:00,82 days 00:00:00,,83 days 00:00:00,39 days 00:00:00,222 days 00:00:00,83 days 00:00:00
634,82,Juncalito-Lote_2,2020-01-20,JUNCAL,KYKUYO,1.3,125.0,2018.0,16.144000000000002,False,2020-01-20 00:00:00,2,34 days 00:00:00,125.0,2019-12-24 00:00:00,,,,2019-09-19 00:00:00,2019-02-18 00:00:00,,27 days 00:00:00,,,,123 days 00:00:00,336 days 00:00:00,
1103,115,Paraiso-Lote_14,2020-01-20,PARAISO,KYKUYO,1.2,112.0,1855.0,16.5625,False,2020-01-20 00:00:00,2,37 days 00:00:00,112.0,2019-12-24 00:00:00,,2019-03-11 00:00:00,2019-03-09 00:00:00,2019-07-02 00:00:00,2019-05-27 00:00:00,,27 days 00:00:00,,315 days 00:00:00,317 days 00:00:00,202 days 00:00:00,238 days 00:00:00,
1572,22,RC23,2020-01-20,RECODO 1,KYKUYO,1.4,119.0,2238.0,18.80672268907563,False,2020-01-20 00:00:00,3,47 days 00:00:00,119.0,2019-02-14 00:00:00,,2019-04-04 00:00:00,,,,,340 days 00:00:00,,291 days 00:00:00,,,,
2041,38,RC39,2020-01-20,RECODO 2,KYKUYO,2.2,132.0,2530.0,19.166666666666668,False,2020-01-20 00:00:00,2,55 days 00:00:00,132.0,2019-05-10 00:00:00,,2019-03-13 00:00:00,2019-03-13 00:00:00,2019-03-15 00:00:00,2019-05-10 00:00:00,,255 days 00:00:00,,313 days 00:00:00,313 days 00:00:00,311 days 00:00:00,255 days 00:00:00,
