AÑO,MES,FINCA,POTRERO,AREA M2,ACTIVIDAD,FECHA ACTIVIDAD,PRODUCTO,HATO,TIPO DE FORRAJE,FECHA ENTRADA,FECHA SALIDA,,DIAS ANTIGUEDAD PASTOS,AFORO,FORRAJE FRECIDO,DIAS ESTADIA,NUMERO ANIMALES,LECHE TOTAL,LECHE POR DIA,LECHE POR VACA,FECHA PROYECTADA FUMIGACION,ANO FUMIGACION,MES FUMIGACION,,,,Contador,9058,,,ACTIVIDAD,2,,SIEMBRA,2,FUMIGADA,4,ABONADA,73,RENOVADA,291,CORTE,623,HENOLAJE,644,DESBROSADA,694,ROTOBO,1694,RIEGO,2174,ENMIENDA,2339,ENCALADO,2484,PASTOREO,831
2017,1,LA ISLA,17,9'896,FUMIGADA,10/01/2017,10/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,30,8'687,FUMIGADA,10/01/2017,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,36,14'693,FUMIGADA,10/01/2017,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,13,13'263,FUMIGADA,11/01/2017,11/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,14,11'906,FUMIGADA,11/01/2017,11/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,15,11'214,FUMIGADA,11/01/2017,11/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,28,16'304,ABONADA,12/01/2017,A =12/1 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,29,14'810,ABONADA,12/01/2017,A =12/1 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,16,11'994,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,16,8'412,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,21,5'037,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,27,7'359,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,12,22'432,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,13,15'112,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,RANCHO,12,2'978,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,RANCHO,13,9'486,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,RANCHO,14,9'724,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,RANCHO,15,8'886,FUMIGADA,12/01/2017,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,5,14'809,FUMIGADA,17/01/2017,17/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,26,5'015,FUMIGADA,17/01/2017,17/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,17,10'827,FUMIGADA,18/01/2017,18/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,14,12'924,FUMIGADA,18/01/2017,18/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,15,13'323,FUMIGADA,18/01/2017,18/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,16,11'357,FUMIGADA,24/01/2017,24/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,18,12'264,FUMIGADA,26/01/2017,26/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,19,16'499,FUMIGADA,26/01/2017,26/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,20,17'387,FUMIGADA,27/01/2017,27/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,1,12'671,FUMIGADA,27/01/2017,27/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,2,13'855,FUMIGADA,27/01/2017,27/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,3,14'421,FUMIGADA,27/01/2017,27/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,2,3'482,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,6,15'591,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,13,8'426,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,24,4'950,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,25,7'917,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,28,16'304,FUMIGADA,28/01/2017,28/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,29,14'810,FUMIGADA,28/01/2017,28/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,RANCHO,2,5'176,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,RANCHO,3,5'341,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,RANCHO,4,5'311,FUMIGADA,28/01/2017,28/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,JUNCAL,21,15'900,FUMIGADA,31/01/2017,31/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,LA ISLA,18,11'883,FUMIGADA,31/01/2017,31/1  CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,PARAISO,4,16'291,FUMIGADA,31/01/2017,31/1 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,JUNCAL,3,15'720,ABONADA,02/02/2017,A=2/2 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,JUNCAL,4,13'510,ABONADA,02/02/2017,A=2/2 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,JUNCAL,5,12'257,ABONADA,02/02/2017,A=2/2 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,PARAISO,7,22'048,ABONADA,02/02/2017,A=2/2 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,PARAISO,8,24'604,ABONADA,02/02/2017,A=2/2 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,JUNCAL,1,15'501,FUMIGADA,06/02/2017,6/2 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,JUNCAL,2,17'504,FUMIGADA,06/02/2017,6/2 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,MANGA LARGA,4,7'217,FUMIGADA,06/02/2017,6/2 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,MANGA LARGA,5,6'907,FUMIGADA,06/02/2017,6/2 CASTA HUMINOVA ALGANOVA ARPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
