name,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,area
RC67,RC72,RC66,RC68,RC71,RC65,T1,T2,T3,T8,6231.773603464255
RC68,RC71,RC65,RC69,RC67,RC64,RC70,RC72,RC66,RC62,5312.776618448161
RC69,RC70,RC64,RC68,RC71,RC65,RC40,RC63,RC39,RC67,5756.715148598454
RC70,RC69,RC71,RC68,RC38,RC40,RC64,RC37,RC65,RC72,6722.814557247686
RC71,RC68,RC70,RC72,RC69,RC67,RC37,RC65,RC36,RC64,5454.884661193167
RC72,RC67,RC71,RC68,RC36,RC66,T9,RC37,RC65,RC02,7005.486863838347
T1,T2,T3,RC66,T4,RC61,T5,RC67,T8,RC65,3105.6636219902994
T2,T1,T3,T4,T5,RC66,T8,RC61,T6,RC67,3044.5960462916955
T3,T4,T2,T1,T5,T8,T6,RC66,T7,RC61,2918.7263193547005
T4,T3,T5,T2,T6,T8,T1,T7,RC66,T9,2839.645786717699
T6,T5,T7,T4,T8,T3,T2,T1,T9,RC66,3128.874492177635
T7,T6,T5,T4,T8,T3,T2,T9,T1,RC66,2901.835827367879
T8,T4,T5,T9,T3,T6,T2,T7,T1,RC67,14294.109928690325
T9,T8,RC01,RC02,T5,T4,T6,RC72,T3,T7,21295.453136879547
Juncalito-Lote_1,Juncalito-Lote_2,Paraiso-Lote_13,Juncalito-Lote_21,Paraiso-Lote_12,Juncalito-Lote_20,Paraiso-Lote_14,Juncalito-Lote_3,La_Isla-Lote_ML_1,Paraiso-Lote_11,15932.34116559671
Juncalito-Lote_2,Juncalito-Lote_1,Juncalito-Lote_3,Juncalito-Lote_20,Paraiso-Lote_12,Paraiso-Lote_11,Juncalito-Lote_19,Juncalito-Lote_21,Paraiso-Lote_13,Juncalito-Lote_4,16542.188705491968
